TournamentID,Name,StartDate,EndDate,IsOver,IsInProgress,Canceled,Covered,Format,SportRadarTournamentID,Venue,Location,Par,Yards,City,State,Country,TimeZone,Purse,StartDateTime,ZipCode
14,The Honda Classic,2015-02-26T00:00:00,2015-03-02T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,PGA National (Champion),"Palm Beach Gardens, FL",70,7140,NA,NA,NA,NA,6100000,NA,NA
13,Northern Trust Open,2015-02-19T00:00:00,2015-02-22T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Riviera CC,"Pacific Palisades, CA",71,7349,NA,NA,NA,NA,6700000,NA,NA
10,AT&T Pebble Beach National Pro-Am,2015-02-12T00:00:00,2015-02-15T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Spyglass Hill GC,"Pebble Beach, CA",72,6953,NA,NA,NA,NA,6800000,NA,NA
11,Farmers Insurance Open,2015-02-05T00:00:00,2015-02-08T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Torrey Pines (North),"San Diego, CA",72,7052,NA,NA,NA,NA,6300000,NA,NA
9,Waste Management Phoenix Open,2015-01-29T00:00:00,2015-02-01T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,TPC Scottsdale,"Scottsdale, AZ",71,7266,NA,NA,NA,NA,6300000,NA,NA
8,Humana Challenge in partnership with the Clinton Foundation,2015-01-22T00:00:00,2015-01-25T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,PGA West (Palmer),"La Quinta, CA",72,6950,NA,NA,NA,NA,5700000,NA,NA
12,Sony Open in Hawaii,2015-01-15T00:00:00,2015-01-18T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Waialae CC,"Honolulu, HI",70,7044,NA,NA,NA,NA,5600000,NA,NA
7,Hyundai Tournament of Champions,2015-01-09T00:00:00,2015-01-12T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Plantation Course at Kapalua,"Kapalua, Maui, HI",73,7452,NA,NA,NA,NA,5700000,NA,NA
52,Hero World Challenge,2014-12-04T00:00:00,2014-12-07T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Isleworth G&CC,NA,72,7267,NA,NA,NA,NA,3500000,NA,NA
45,OHL Classic at Mayakoba,2014-11-13T00:00:00,2014-11-16T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,El Camaleon GC,"Riviera Maya, Mexico",71,6987,NA,NA,NA,NA,6100000,NA,NA
31,Sanderson Farms Championship,2014-11-06T00:00:00,2014-11-09T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,CC of Jackson,"Jackson, MS",72,7364,NA,NA,NA,NA,4000000,NA,NA
42,World Golf Championships-HSBC Champions,2014-11-06T00:00:00,2014-11-09T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Sheshan International GC,"Shanghai, China",72,7261,NA,NA,NA,NA,8500000,NA,NA
50,CIMB Classic,2014-10-30T00:00:00,2014-11-02T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Kuala Lumpur G&CC,"Kuala Lumpur, Malaysia",72,6985,NA,NA,NA,NA,7000000,NA,NA
51,The McGladrey Classic,2014-10-23T00:00:00,2014-10-26T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Sea Island Resort (Seaside),"Sea Island, GA",70,7005,NA,NA,NA,NA,5600000,NA,NA
36,Shriners Hospitals for Children Open,2014-10-16T00:00:00,2014-10-19T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,TPC Summerlin,"Las Vegas, NV",71,7255,NA,NA,NA,NA,6200000,NA,NA
46,Frys.com Open,2014-10-09T00:00:00,2014-10-12T00:00:00,TRUE,FALSE,FALSE,TRUE,NA,,Silverado CC (North),"Napa, CA",72,7203,NA,NA,NA,NA,6000000,NA,NA
